Raw_filename1;Raw_filename2;Submission_filename1;Submission_filename2;Folder;SampleName;Sample;Genotype;Construct;Suffix;Name;Genotype_construct
recA3-UP-3G5_S24.R1.fastq.gz;recA3-UP-3G5_S24.R2.fastq.gz;recA3-2_Col-0_S24.R1.fastq.gz;recA3-2_Col-0_S24.R2.fastq.gz;NGS313;recA3-2_Col-0_S24;recA3-UP-3G5_S24;recA3-2;no-TAL;S24;recA3-2_no-TAL_S24;recA3-2_no-TAL
NGS257-2C9_S43.R1.fastq.gz;NGS257-2C9_S43.R2.fastq.gz;recA3_3_TAL_UP_S44.R1.fastq.gz;recA3_3_TAL_UP_S44.R2.fastq.gz;NGS257;recA3_3_TAL_UP_S44;NGS257-2C9_S43;recA3-3;TAL-2;S44;recA3-3_TAL-2_S44;recA3-3_TAL-2
NGS257-2E3_S10.R1.fastq.gz;NGS257-2E3_S10.R2.fastq.gz;recA3_3_WT_TAL_6-2-TW_S10.R1.fastq.gz;recA3_3_WT_TAL_6-2-TW_S10.R2.fastq.gz;NGS257;recA3_3_WT_TAL_6-2-TW_S10;NGS257-2E3_S10;recA3-3-WT;TAL-1-WT;S10;recA3-3-WT_TAL-1-WT_S10;recA3-3-WT_TAL-1-WT
NGS257-2E4_S11.R1.fastq.gz;NGS257-2E4_S11.R2.fastq.gz;recA3_3_WT_TAL_6-2-WT_S11.R1.fastq.gz;recA3_3_WT_TAL_6-2-WT_S11.R2.fastq.gz;NGS257;recA3_3_WT_TAL_6-2-WT_S11;NGS257-2E4_S11;recA3-3-WT;TAL-1-WT;S11;recA3-3-WT_TAL-1-WT_S11;recA3-3-WT_TAL-1-WT
NGS257-2E5_S12.R1.fastq.gz;NGS257-2E5_S12.R2.fastq.gz;recA3_3_WT_TAL_6-2-WT_S12.R1.fastq.gz;recA3_3_WT_TAL_6-2-WT_S12.R2.fastq.gz;NGS257;recA3_3_WT_TAL_6-2-WT_S12;NGS257-2E5_S12;recA3-3-WT;TAL-1-WT;S12;recA3-3-WT_TAL-1-WT_S12;recA3-3-WT_TAL-1-WT
NGS257-2E7_S13.R1.fastq.gz;NGS257-2E7_S13.R2.fastq.gz;recA3_3_WT_TAL_6-2-WT_S13.R1.fastq.gz;recA3_3_WT_TAL_6-2-WT_S13.R2.fastq.gz;NGS257;recA3_3_WT_TAL_6-2-WT_S13;NGS257-2E7_S13;recA3-3-WT;TAL-1-WT;S13;recA3-3-WT_TAL-1-WT_S13;recA3-3-WT_TAL-1-WT
NGS257-2D1_S44.R1.fastq.gz;NGS257-2D1_S44.R2.fastq.gz;recA3_3_WT_TAL_UP-WT_S45.R1.fastq.gz;recA3_3_WT_TAL_UP-WT_S45.R2.fastq.gz;NGS257;recA3_3_WT_TAL_UP-WT_S45;NGS257-2D1_S44;recA3-3-WT;TAL-2-WT;S45;recA3-3-WT_TAL-2-WT_S45;recA3-3-WT_TAL-2-WT
NGS257-2D9_S45.R1.fastq.gz;NGS257-2D9_S45.R2.fastq.gz;recA3_3_WT_TAL_UP-WT_S46.R1.fastq.gz;recA3_3_WT_TAL_UP-WT_S46.R2.fastq.gz;NGS257;recA3_3_WT_TAL_UP-WT_S46;NGS257-2D9_S45;recA3-3-WT;TAL-2-WT;S46;recA3-3-WT_TAL-2-WT_S46;recA3-3-WT_TAL-2-WT
NGS257-C3_S39.R1.fastq.gz;NGS257-C3_S39.R2.fastq.gz;recG1-2_Col-0_S40.R1.fastq.gz;recG1-2_Col-0_S40.R2.fastq.gz;NGS257;recG1-2_Col-0_S40;NGS257-C3_S39;recG1-2;no-TAL;S40;recG1-2_no-TAL_S40;recG1-2_no-TAL
NGS257-C8_S42.R1.fastq.gz;NGS257-C8_S42.R2.fastq.gz;recG1-2_Col-0_S43.R1.fastq.gz;recG1-2_Col-0_S43.R2.fastq.gz;NGS257;recG1-2_Col-0_S43;NGS257-C8_S42;recG1-2;no-TAL;S43;recG1-2_no-TAL_S43;recG1-2_no-TAL
